title,link,scraped_at
LinkedIn Profile,https://www.google.com/search?q=site:linkedin.com/in/+software+engineer&sca_esv=71b86378781733a7&udm=50&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&aep=1&ntc=1&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQ2J8OegQIChAE,2026-01-19T09:27:16.469041
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&udm=2&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=site:linkedin.com/in/+software+engineer&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQtKgLegQIDxAB,2026-01-19T09:27:16.555763
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&udm=7&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=site:linkedin.com/in/+software+engineer&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQtKgLegQIEBAB,2026-01-19T09:27:16.574374
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&udm=28&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=site:linkedin.com/in/+software+engineer&ved=1t:220175&ictx=111,2026-01-19T09:27:16.593734
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&udm=18&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=site:linkedin.com/in/+software+engineer&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQs6gLegQIDhAB,2026-01-19T09:27:16.612922
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&udm=39&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=site:linkedin.com/in/+software+engineer&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQs6gLegQIDRAB,2026-01-19T09:27:16.632659
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&tbs=qdr:w&q=site:linkedin.com/in/+software+engineer&tbm=nws&source=lnms&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQ0pQJegQIRBAB,2026-01-19T09:27:16.652193
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&udm=14&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&q=site:linkedin.com/in/+software+engineer&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQs6gLegQIRxAB,2026-01-19T09:27:16.671473
LinkedIn Profile,https://www.google.com/search?sca_esv=71b86378781733a7&tbs=qdr:w&q=site:linkedin.com/in/+software+engineer&udm=36&source=lnms&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&sa=X&ved=2ahUKEwj8u6zepJeSAxWZEFkFHWH_JBgQ0pQJegQIRhAB,2026-01-19T09:27:16.690125
LinkedIn Profile,https://maps.google.com/maps?sca_esv=71b86378781733a7&output=search&tbs=qdr:w&q=site:linkedin.com/in/+software+engineer&source=lnms&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3p-ML-906rRL_m6h4jR-tdCH-vUIlZq9RzugLEcfjf51b4dfDKizXS4hTwRCZW2TydVcnv1RUVx0SX0axPgL6aA1y5lH4oIQTHc9n3as9K40uq1ucVlSq7hphXixGrVbAHaxl4xbaQRNq-TBoJwkyHSzWgD1m8zRB8KZ0lvZ8gcgw8mFAQ&entry=mc&ved=1t:200715&ictx=111,2026-01-19T09:27:16.709062
